countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,group,group2,account_t_d,fiaccount_t_d,mobileaccount_t_d,borrow_any_t_d,fin4_d,dig_acc,fin11_2a,fin11a,fin11b,fin11c,fin11f,fin11d,fin11e,fin14a,fin14b,fin14c,fin14d,fin13_1a,fin13_1b,fin26a,fin26b,fin27a,fin27b,fin17f,fin17a_17a1_d,fin17a,fin17b,fin17c,fin22d,fin22e,fin22a_22a1_22g_d,fin22a,fin22a_1,fin22b,fin22c,fin24sav,fin24fam,fin24work,fin24bor,fin24sell,fin24other,fin24aVD,fin24aSD,fin24aND,fin24aSD_ND,fin24aP,fin24aN,fin24sav_SD_ND,fin24fam_SD_ND,fin24work_SD_ND,fin24bor_SD_ND,fin24sell_SD_ND,fin24other_SD_ND,fin24sav_VD,fin24fam_VD,fin24work_VD,fin24bor_VD,fin24sell_VD,fin24other_VD,fh1,fin28,fh2,fin29,fin31a_31b,fin30,fin31a,fin31b,fin31d,fin32_33_34a,fin32_33_34b,fin32_33_34c,fin32_33_34d,fin32_33_acc,fin32_33,fin32_n33_34a,fin32_n33_34b,fin32_n33_34c,fin32_n33_34d,fin32_n33_acc,fin32_n33,fin32,fin32_acc,fin34a,fin34b,fin34c,fin34d,fin37_38_39a,fin37_38_39b,fin37_38_39c,fin37_38_39d,fin37_38_39_acc,fin37_38,fin37_39a,fin37_39b,fin37_39c,fin37_39d,fin37_39_acc,fin37,fin38_39a,fin38_39b,fin38_39c,fin38_39d,fin38_39_acc,fin38,fin2_t_d,fin42,fin42_acc,fin43a,fin43b,fin43c,fin43d,fin45a,fin45c,fin45d,fin45e,fin45b,fin25e2,fin9b,fin10,fin22g,fin22h,inactive_t_d,fing2p_acc,fing2p_card,fing2p_cash,fing2p_fin,fing2p_mob,fing2p,g20_made,g20_received,g20_any,merchant_pay,save_any_t_d,fin11_1,fin5w,fin5m,fin5lm,fin5n,fin6w,fin6m,fin6lm,fin6n,fin11_0,fin9a,fin17dw,fin17dm,fin17dlm,fin17e,fin7,fin3,fin19,fin20,fin21,fin24ba,fin24bb,fin24bc,fin24bd,fin24c,fin24d1,fin24d2,fin24d3,fin25e1,fin25e2b,fin25e3w,fin25e3m,fin25e3lm,fin25e4a,fin25e4b,fin25e4c,fin25e4d,fin25e4e,fh2a,fin31c,fin36a,fin36b,fin40a,fin40b,fin36Aa,fin36Ab,fin8,fin13aw,fin13am,fin13alm,fin13an,fin13bw,fin13bm,fin13blm,fin13bn,fin13cw,fin13cm,fin13clm,fin13cn,fin13e,fin13f,fin13f_1,fin15,fin16,fin22f,fin41,fin35,fin44,fh1_fh2,fin28_29,fin31d_s,fin32_n33_34c_s,fin34c_s,fin43c_s,fin32_acc_s,fin34a_s,fin32_33_acc_s,inactive_t_d_s,fing2p_fin_s,fin32_33_34a_s,fin32_n33_acc_s,fin37_39_acc_s,fin37_39c_s,fin31a_31b_s,fin31a_s,fin31b_s,fin32_n33_34a_s,fin37_39a_s,fin34d_s,fin32_33_34d_s,fin32_n33_34d_s,fing2p_card_s,fin37_39d_s,fin42_acc_s,fin32_33_34c_s,fin37_38_39c_s,fin38_39c_s,fing2p_acc_s,fing2p_cash_s,fin37_38_39a_s,fin37_38_39_acc_s,fin38_39a_s,fin38_39_acc_s,fin34b_s,fin32_n33_34b_s,fin43b_s,fin27b_s,fin27a_s,fin22h_s,fin28_29_s,fin28_s,fin29_s,fing2p_mob_s,fin37_38_39d_s,fin37_38_39b_s,fin37_39b_s,fin11_2a_s,fin11b_s,fin11f_s,fin11d_s,fin11e_s,fin9b_s,fin11_1_s,fin5m_s,fin6m_s,fin9a_s,fin5w_s,fin6w_s,fin17dm_s,fin17dlm_s,fin25e3w_s,fin25e3m_s,fin24d1_s,fin14d_s,fin24d2_s,fin11a_s,fin11c_s,fin5lm_s,fin6lm_s,fin17dw_s,fin14c_s,fin13_1a_s,fin13_1b_s,fin13am_s,fin13alm_s,fin13bm_s,fin13blm_s,fin13cm_s,fin13clm_s,fin21_s,fin14b_s,fin13cw_s,fin13f_s,fin14a_s,fin25e3lm_s,fin13aw_s,fin13bw_s,fin24d3_s,fin5n_s,fin6n_s,fin13f_1_s,fin32_33_34b_s,con1,con2a,con2b,con2c,con2d,con2e,con2f,con2g,con3a,con3b,con3c,con3d,con3e,con3f,con3g,con4,con5a,con5b,con6,con7,con8,con9a,con9b,con10,con11,con12d,con12w,con12m,con12lm,con13,con14,con15,con16,con17a,con17b,con17c,con17d,con18,con19,con20,con21,con22,con23,internet,con26d,con26w,con26m,con26lm,con27,con28d,con28w,con28m,con28lm,con28n,con29,con30a,con30b,con30c,con30d,con30e,con30f,con30g,con30h,con31a,con31b,con31c,con31d,con31e,con31f,con31g,con31h,con32a,con32b,con32c,con32d,con32e,con32f,con32g,con32h,con10_s,con11_s,con12d_s,con14_s,con16_s,con17a_s,con17b_s,con18_s,con19_s,con20_s,con21_s,con26d_s,con27_s,con28m_s,con30a_s,con30b_s,con30c_s,con30d_s,con30e_s,con30f_s,con30g_s,con30h_s,con31a_s,con31b_s,con31f_s,con2a_s,con15_s,con17d_s,con29_s,con31d_s,con31h_s,con32a_s,con3a_s,con4_s,con28d_s,con28w_s,con23_s,con31c_s,con2b_s,con2d_s,con26w_s,con2c_s,con2e_s,con2g_s,con5b_s,con12m_s,con26lm_s,con12w_s,con2f_s,con13_s,con26m_s,con28lm_s,con5a_s,con17c_s,con32h_s
Indonesia,IDN,2014,185894322.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.360589893,0.359473605,0.004496315,0.568361366,,,,,,,,,,,,,,,,,,,,,0.265630511,0.265630511,,0.252251858,0.158008037,0.117057287,0.137198088,0.137198088,,0.414866172,,,,,,,,,,,,0.429992632,0.5700073683089223,,,,,,,,,,,,,,,,,0.029995747,0.599968123,0.029096498,0.004396003,0.567336315,0.026582063,0.0,0.021896646,0.00089924900996106,0.026582063,0.048478709,0.038347184,0.0,0.199653572,0.001663618,0.039289409,0.24382866,0.29230737,0.065871473,0.064929248,0.0,0.221550218,0.002562867,,,,,,,0.020784332,0.00064099529744644,0.13938453,0.010747867,0.030288814,0.194962754,,,,,,,0.25944753,0.283397535,0.012731406,0.012731406,,0.269926773,,,,,,,,,0.015953596,0.010719827,,0.03445395,,0.010747867,,0.042837527,0.00064099529744644,,0.163924748,0.177347923,0.233148431,,0.692987123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9456107629273096,0.8188273332472848,0.7579357916176578,0.9524669030019528,,,,,,,,,0.7149290154198882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,2014,22158615.0,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.806746218,0.806746218,0.028302111,0.620515786,,,,,,,,,,,,,,,,,,,,,0.337706427,0.337706427,,0.099004139,0.069376912,0.061276586,0.307491528,0.307491528,,0.389633502,,,,,,,,,,,,0.524349775,0.4756502254773579,,,,,,,,,,,,,,,,,0.137952104,0.54846126,0.126934154,0.031747476,0.396266916,0.085719703,0.002754799,0.008720963,0.010731958,0.08688098,0.09619258,0.216851261,0.003499998,0.118990615,0.035359813,0.221079260601989,0.354357888,0.450550468,0.307960241,0.302570963,0.006254797,0.127711578,0.046091771,,,,,,,0.194962512,0.003420783,0.080876148,0.021658853,0.198993508,0.323874483,,,,,,,0.411705874,0.083914152,0.032672153,0.032388287,,0.047018,,,,,,,,,0.201546092,0.169264674,,0.086643142,,0.030928801,,0.260751251,0.006175582,,0.455731781,0.512848174,0.625984446,,0.815895524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7225066655581966,0.3357921994875203,0.283456764681376,,0.6835199663571716,0.6715584258719364,,,,,0.623886946,0.6144155167991421,,0.2515257029839495,0.2314368639370484,,0.6119555058819692,0.6019693493610524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,2014,66911959.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.312858339,0.280657249,0.042258738,0.701457466,,,,,,,,,,,,,,,,,,,,,0.147855893,0.147855893,,0.093016492,0.28727882,0.135877497,0.128852121,0.128852121,,0.486516435,,,,,,,,,,,,0.51424556,0.4857544399668824,,,,,,,,,,,,,,,,,0.013508647,0.552135999,0.010397003,0.003111644,0.528277472,0.025557871,0.0,0.077481283,0.007757527,0.028072396,0.108090078,0.030363767,0.0,0.192867391,0.012882631,0.035224088,0.24269561,0.350785688,0.063296484,0.055921638,0.0,0.270348674,0.020640158,,,,,,,0.031157205,0.001721572,0.097648038,0.015804785,0.040472643,0.173141022,,,,,,,0.204803989,0.220911611,0.004127364,0.003699332,,0.210112638,,,,,,,,,0.031992777,0.021754985,,0.044762194,,0.022195407,,0.050750449,0.001721572,,0.175532989,0.138381924,0.213555484,,0.673395874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9567886758782832,0.7946884240010157,0.7706947113078828,0.9511163148136204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,2014,4691514.0,High income,High income,all,all,0.963525998,0.963525998,0.061494599,0.419131547,,,,,,,,,,,,,,,,,,,,,0.462067453,0.462067453,,0.045294846,0.022439071,0.016554422,0.377847256,0.377847256,,0.044450212,,,,,,,,,,,,0.789048014,0.2109519859666533,,,,,,,,,,,,,,,,,0.385083663,0.522396902,0.378860111,0.025313435,0.102058341,0.185599672,0.006595899,0.009914007,0.005847648,0.186488826,0.20398988,0.202259071,0.001672195,0.033725546,0.015305838,0.210432555,0.267220269,0.471210149,0.396921381,0.387858743,0.008268095,0.043639553,0.021153486,,,,,,,0.255626397,0.006472648,0.0101710884456375,0.009095787,0.257224706,0.279915938,,,,,,,0.894218451,0.022967059,0.012370196,0.012370196,,0.001541273,,,,,,,,,0.354198091,0.31296181,,0.014014935,,0.011114468,,0.407387108,0.00923958,,0.854361983,0.672968316,0.901556786,,0.733594042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1953655180236388,,,,0.8423447205863803,0.8231120323133168,0.9142062641451484,,,0.9098474514621284,0.7874872516416521,0.91893555,,0.7371476773228469,0.7252342214646534,,0.7569001848253377,0.9132255906725776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,2014,56707280.0,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.781365538,0.781365538,0.013012658,0.52055628,,,,,,,,,,,,,,,,,,,,,0.405971145,0.405971145,,0.084268998,0.207336689,0.12787633,0.179491082,0.179491082,,0.311164284,,,,,,,,,,,,0.585111033,0.4148889672386387,,,,,,,,,,,,,,,,,0.025221393,0.861540634,0.017431241,0.007790152,0.832982095,0.036504646,0.001064818,0.034544839,0.001064818,0.037221654,0.071766492,0.045789806,0.0,0.127123312,0.0,0.045789806,0.175147298,0.246913791,0.08301146,0.082294453,0.001064818,0.161668151,0.001064818,,,,,,,0.088699552,0.00088053976358867,0.13161597,0.00088053976358867,0.089580092,0.226242356,,,,,,,0.547528815,0.368283832,0.03341108,0.032463643,,0.333617882,,,,,,,,,0.05690708,0.037093445,,0.030422797,,0.001945358,,0.113932714,0.001945358,,0.219371616,0.272957648,0.367749834,,0.80519991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9668517794615988,0.72580801,0.654755453,0.9058716475482148,,,,,,,,,0.5817476997776646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,2014,68893679.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.309509468,0.308643549,0.004965069,0.474496234,,,,,,,,,,,,,,,,,,,,,0.146057945,0.146057945,,0.115591685,0.077224132,0.071160491,0.195018438,0.195018438,,0.298776467,,,,,,,,,,,,0.676535323,0.3234646765213089,,,,,,,,,,,,,,,,,0.006331197,0.879762781,0.004906682,0.00193836,0.856924852,0.009387341,0.0,0.013812876,0.005669909,0.012755055,0.026567931,0.059245973,0.0,0.155691119,0.018553418,0.06485786,0.223890243,0.250458174,0.077612915,0.068633314,0.0,0.169503996,0.024223327,,,,,,,0.016029778,0.0,0.063183102,0.003276333,0.016029778,0.085827647,,,,,,,0.26505479,0.284645228,0.001661772,0.0,,0.280009947,,,,,,,,,0.019289116,0.011635962,,0.047526565,,0.008946242,,0.024192939,0.0,,0.105929857,0.156729287,0.193831297,,0.632954749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974040811,0.6953903722577733,0.6767756591360828,0.9837155858740408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,2017,193777030.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.488574509,0.483920589,0.031239157,0.548448868,,,,,,,,,,,,,,,,0.042404163,,,,,0.215343921,0.215343921,,0.299226732,0.12084983,0.129465866,0.184441755,0.184441755,,0.35718283,0.146322142,,,,,,,,,,,0.462732321,0.5372676794530876,,,,,,,,,,,,,,,,,0.131768238,0.739711501,0.118458228,0.032229441,0.596705279,0.029860782,0.00080819824783093,0.021756211,0.00075116668136826,0.030611948,0.053621535,0.05589138,0.003795397,0.236736871,0.002126274,0.058902527,0.3087689,0.362390436,0.089514475,0.085752161,0.004603595,0.258493083,0.002877441,0.053544626,0.00086489765510223,0.062335564,0.015647369,0.069191995,0.183027856,0.045660883,0.00086489765510223,0.056383906,0.015647369,0.061308252,0.163457495,0.009058095,0.0,0.005951658,0.0,0.009058095,0.021998089,0.308110997,0.205112686,0.029374058,0.027497792,0.003921704,0.170626284,0.001255697,,,,,,,,0.024394727,0.018631473,,0.084597083,0.089394692,0.016398536,0.07921627,0.072996156,0.001673096,0.218049326,0.26758159,0.214033827,0.346082624,,0.617759807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8066729772539186,0.7667121622663307,0.7132999579402287,0.8318660703188467,,,,,,,,,,0.1781346344158106,0.1601411195454502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,2017,23682698.0,East Asia & Pacific (excluding high income),Upper middle income,all,all,0.853437476,0.851300292,0.108763332,0.397408606,,,,,,,,,,,,,,,,0.248960322,,,,,0.37769749,0.37769749,,0.103441055,0.058787901,0.050708987,0.233599692,0.233599692,,0.153511375,0.0192339,,,,,,,,,,,0.376650088,0.6233499123013069,,,,,,,,,,,,,,,,,0.266556689,0.438356385,0.251630869,0.095975399,0.144838431,0.071524851,0.015547669,0.013724483,0.00091798695737783,0.073060619,0.089473497,0.195920322,0.026291813,0.06461466,0.006738097,0.204504299,0.293593103,0.3830666,0.277564918,0.267445174,0.041839482,0.078339143,0.007656084,0.187525729,0.02108799,0.019367963,0.014929255,0.207513067,0.289717573,0.16778976,0.018586906,0.019367963,0.013797769,0.185552433,0.263734013,0.043811364,0.004558884,0.002900448,0.005768744,0.050673288,0.057596663,0.737592141,0.027979978,0.018440058,0.016970806,0.00567474,0.008340604,0.00085210852700437,,,,,,,,0.213148618,0.146230533,,0.086517537,0.250866767,0.015847242,0.028866393,0.232614605,0.031479846,0.342247192,0.600953599,0.443351277,0.704195668,,0.63255629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3304125040923883,,,,0.7245865800824485,0.6981688660999814,,,0.6796684111943483,,0.6965568906208031,0.7035589798767388,,0.6080821410754182,0.5740326310237389,,0.6673192272476656,0.6362082697231368,,,,,,,,,,0.732998759,,0.647270811,0.7162598539672707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,2017,71585383.0,East Asia & Pacific (excluding high income),Lower middle income,all,all,0.344984076,0.31797071,0.04521299,0.586467591,,,,,,,,,,,,,,,,0.033371732,,,,,0.119304144,0.119304144,,0.079743472,0.274036288,0.145002183,0.10701421,0.10701421,,0.411839226,0.039495384,,,,,,,,,,,0.509175216,0.4908247839961878,,,,,,,,,,,,,,,,,0.023091403,0.530479337,0.02139035,0.002837177,0.504079664,0.040074364,0.003106807,0.038234234,0.00040217303615477,0.040476537,0.081924957,0.061304764,0.001140108,0.230490394,0.004429384,0.065734148,0.297655263,0.37958022,0.106210685,0.101379128,0.004246915,0.268724628,0.004831557,0.057927148,0.0,0.119598517,0.011384771,0.06931192,0.224972048,0.045733783,0.0,0.117723578,0.008212873,0.053946656,0.205871725,0.027070274,0.0,0.025686712,0.003171898,0.030242172,0.058323931,0.210113055,0.199708656,0.00093823289117796,0.00060647691135877,0.0,0.196049822,0.00033175597981918,,,,,,,,0.019389889,0.014962721,,0.03079471,0.100463474,0.011786944,0.145849278,0.089822891,0.003106807,0.282181807,0.136391803,0.20130373,0.250894078,,0.587067227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9502343047907988,0.7743534965149975,0.7079521367825834,0.98167914,0.2798109062193025,0.2670822209796364,,,,,,,0.5718297534269352,,,,,,,,,,,,,0.5316150060420989,,0.3560239247812647,0.5168627977704072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,2017,4905185.0,High income,High income,all,all,0.97931171,0.978122879,0.09548008,0.504476735,,,,,,,,,,,,,,,,0.496842578,,,,,0.669030753,0.669030753,,0.021045868,0.018123986,0.014751717,0.468964253,0.468964253,,0.037197222,0.001160981,,,,,,,,,,,0.687492245,0.3125077548846094,,,,,,,,,,,,,,,,,0.448021441,0.557720019,0.44116154,0.083372534,0.101357927,0.133144712,0.0018927,0.001263261,0.0,0.134341016,0.135951964,0.440304192,0.012584982,0.018299627,0.00083279631624852,0.441136988,0.465147325,0.601099289,0.575478004,0.573448904,0.014477681,0.019562889,0.00083279631624852,0.197772061,0.002879737,0.016071702,0.002564024,0.201582742,0.250151929,0.188764796,0.002879737,0.013043288,0.00082303552609833,0.190834488,0.235490629,0.022017481,0.0,0.00445382,0.001740988,0.023758469,0.030721346,0.918472912,0.00082303552609833,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.488976777,0.428269317,,0.020597245,0.317016505,0.002564024,0.015701412,0.313205825,0.004772437,0.363320632,0.844365991,0.693534606,0.901014932,,0.768801967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1817362187289395,,,,0.9573759530261894,0.9540003034279037,0.9881506108303428,,0.8620645144252044,0.9793511479558448,0.9483812218308076,0.810369775,,0.8033088753475162,0.7910089732589708,,0.9465908292574394,0.8015809228479522,,,,,,,,,,0.8725529928033353,,0.7906077775830868,0.8058412423303111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
